material_id,spacegroup_symbol,spacegroup_number,original_formula,discharged_formula,charged_formula,replaced_element,vpv,discharged_energy_fu_corrected,charged_energy_fu_corrected,applied_correction,discharged_E_above_hull,charged_E_above_hull,average_voltage,mace-neb1 (meV),mace-neb2,mace-neb3,mace-neb4,other_dir,orbv3-neb1 (meV),orbv3-neb2,orbv3-neb3,orbv3-neb4,mace_candidate,orbv3_candidate,TL_neb1 (meV),TL_neb2,TL_neb3,TL_neb4,TL_candidate
mp-26339,P2_1/c,14,LiMnP2O7,CaMnP2O7,MnP2O7,Li,13.328888444868523,-87.93933947157325,-78.11185145047969,-6.477,0.0554768684933417,0.0352177912020303,3.92,1973.0,1214.0,,,,2547.3,1139.5,,,0,0,1913.9,1150.3,,,0
mp-697744,P2_1/c,14,LiMnP2O7,CaMnP2O7,MnP2O7,Li,13.370530294258815,-88.1746254668888,-77.96982863733896,-6.477,0.0340872325555636,0.0494200725161029,4.11,2579.0,,,,,2732.3,,,,0,0,1460.4,,,,0
mp-776412,P2_1/c,14,LiMnP2O7,CaMnP2O7,MnP2O7,Li,13.513762897095592,-87.98153798504273,-78.23499809244421,-6.477,0.0516406399961155,0.0229031270055779,3.88,943.0,1199.0,,,or,1010.6,1239.5,,,1,0,1246.7,1574.2,,,0
mp-26981,P2_1,4,LiMnP2O7,CaMnP2O7,MnP2O7,Li,13.83700963481346,-88.0624078006983,-78.274789842383,-6.477,0.0442888385728821,0.0189239520116997,3.9,1001.0,,,,,1178.6,,,,0,0,1869.8,,,,0
mp-776395,Pc,7,LiMnP2O7,CaMnP2O7,MnP2O7,Li,14.133480683480954,-88.15808553526875,-78.30299147650106,-6.477,0.0355908627028416,0.0161037885998931,3.94,2554.0,,,,,2525.3,,,,0,0,1410.1,,,,0
mp-752490,P1,1,XLiVFe(P2O7)2,CaVFe(P2O7)2,VFeP4O14,Li,13.553377993248615,-167.19707489092687,-157.7213553570829,-13.574,0.0205654478980434,0.0244616259374925,3.75,576.0,,,,,735.7,,,,1,1,1529.5,,,,0
mp-1235847,P1,1,XLiVFe(P2O7)2,CaVFe(P2O7)2,VFeP4O14,Li,14.52867226775608,-167.11796118139003,-157.7210482543338,-13.574,0.0243327673997981,0.0244769810749483,3.71,801.0,,,,,841.5,,,,1,1,1526.0,,,,0
mp-765981,P1,1,XLiVFe(P2O7)2,CaVFe(P2O7)2,VFeP4O14,Li,13.323194520194264,-167.12232445114012,-157.7215175617129,-13.574,0.0241249926497939,0.0244535157059937,3.71,652.0,,,,,749.6,,,,1,1,1534.7,,,,0
mp-759903,P1,1,LiVFe(P2O7)2,CaVFe(P2O7)2,VFeP4O14,Li,13.218544797013037,-167.15451098782862,-157.72223930088188,-13.574,0.022592300426532,0.0244174287475438,3.73,986.0,,,,,1289.2,,,,1,0,1108.5,,,,0
mp-1235226,P1,1,XLiVFe(P2O7)2,CaVFe(P2O7)2,VFeP4O14,Li,13.197387744882317,-166.99357129704663,-157.7201920144772,-13.574,0.030256095225674,0.0245197930677782,3.65,433.0,,,,,607.5,,,,1,1,1621.8,,,,0
mp-765480,P2_1,4,XLi2V2F10,CaVF5,VF5,Li,14.139286901818776,-45.67377068680007,-35.33881685157068,-4.01,0.0925787097428472,0.0235637601548868,4.18,1097.0,,,,,1369.0,,,,0,0,1784.3,,,,0
mp-760294,P2_1/c,14,LiVF5,CaVF5,VF5,Li,13.445614510024178,-45.759052711230346,-35.317995335400006,-4.01,0.0803955633956645,0.0270340128499988,4.23,1804.0,1127.0,,,,1281.6,1806.9,,,0,0,1919.0,2059.7,,,0
mp-759186,P2_1/c,14,LiVF5,CaVF5,VF5,Li,13.235638917189451,-45.75753015733936,-35.78134477693682,-4.01,0.0806130710943771,0.0,4.0,827.0,948.0,,,and,753.4,986.7,,,1,1,1777.0,2080.1,,,0
mp-30297,P2_1/c,14,SrVF5,CaVF5,VF5,Sr,13.675215551223298,-45.80510268967963,-35.78111629049741,-4.01,0.0738169950457674,0.0,4.02,891.0,,,,,1192.9,,,,1,0,1910.3,,,,0
mp-759086,P2_1/c,14,LiVF5,CaVF5,VF5,Li,13.384345886995272,-45.70426422454716,-35.334081355538146,-4.01,0.088222490064691,0.0243530094936419,4.19,642.0,,,,,539.2,,,,1,1,1843.3,,,,0
mp-753289,P2_12_12_1,19,LiVF5,CaVF5,VF5,Li,14.440126863424538,-45.86746812098576,-35.29531921599099,-4.01,0.0649076477163195,0.0308133660848346,4.3,1118.0,1063.0,,,or,900.8,947.3,,,0,1,1672.6,1730.9,,,0
mp-765621,P2_12_12_1,19,XVF5,CaVF5,VF5,X0+,14.299805547093722,-45.908061444692486,-35.34324833204434,-4.01,0.0591086014725021,0.0228251800759435,4.29,1577.0,,,,,1745.8,,,,0,0,1581.3,,,,0
mp-1984516,P1,1,XLiCo(CO3)2,CaCo(CO3)2,CoC2O6,Li,13.202056591731468,-78.15539571806802,-68.35998771334356,-5.76,0.0899595756931983,0.0836442685173839,3.91,694.0,523.0,,,,583.6,738.4,,,0,0,1032.0,1224.1,,,0
mp-1647692,P1,1,XLi2Co2(CO3)4,CaCo(CO3)2,CoC2O6,Li,13.634215110650864,-78.12972465379414,-68.28548062419617,-5.76,0.0925266821205861,0.091922833978205,3.93,364.0,288.0,,,,406.5,689.7,,,0,0,1256.8,1267.6,,,0
